Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2017-10-26,1,Bloemfontein,Mangaung Oval,2017/18,Bangladesh tour of South Africa,T20,20,"South Africa, Bangladesh",South Africa,Bangladesh,international,South Africa,bat,South Africa,,20,,,AB de Villiers
2017-10-29,2,Potchefstroom,Senwes Park,2017/18,Bangladesh tour of South Africa,T20,20,"South Africa, Bangladesh",South Africa,Bangladesh,international,Bangladesh,field,South Africa,,83,,,DA Miller
2017-03-26,1,Barbados,"Kensington Oval, Bridgetown",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,Pakistan,field,Pakistan,,,6,,Shadab Khan
2017-03-30,2,Trinidad,"Queen's Park Oval, Port of Spain",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,West Indies,field,Pakistan,,3,,,Shadab Khan
2017-04-04,1,Colombo,R Premadasa Stadium,2016/17,Bangladesh in Sri Lanka T20I Series,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,bat,Sri Lanka,,,6,,MDKJ Perera
2017-04-06,2,Colombo,R Premadasa Stadium,2016/17,Bangladesh in Sri Lanka T20I Series,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,bat,Bangladesh,,45,,,Shakib Al Hasan
2017-04-01,3,Trinidad,"Queen's Park Oval, Port of Spain",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,Pakistan,bat,West Indies,,,7,,E Lewis
2017-04-02,4,Trinidad,"Queen's Park Oval, Port of Spain",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,Pakistan,field,Pakistan,,,7,,Hasan Ali
2017-11-17,1,Sydney,North Sydney Oval,2017/18,England Women tour of Australia,T20,20,"England, Australia",England,Australia,international,Australia,field,Australia,,,6,,BL Mooney
2017-11-19,2,Canberra,Manuka Oval,2017/18,England Women tour of Australia,T20,20,"England, Australia",England,Australia,international,England,bat,England,,40,,,KH Brunt
2017-11-21,3,Canberra,Manuka Oval,2017/18,England Women tour of Australia,T20,20,"Australia, England",Australia,England,international,Australia,bat,England,,,4,,DN Wyatt
2017-04-12,1,Abu Dhabi,Sheikh Zayed Stadium,2017,Papua New Guinea in United Arab Emirates T20I Series,T20,20,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,United Arab Emirates,field,United Arab Emirates,,,5,,
2017-04-14,2,Abu Dhabi,Sheikh Zayed Stadium,2017,Papua New Guinea in United Arab Emirates T20I Series,T20,20,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,Papua New Guinea,field,United Arab Emirates,,30,,,
2017-04-14,3,Abu Dhabi,Sheikh Zayed Stadium,2017,Papua New Guinea in United Arab Emirates T20I Series,T20,20,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,Papua New Guinea,bat,United Arab Emirates,,,5,,
2017-07-09,,Jamaica,"Sabina Park, Kingston",2017,,T20,20,"West Indies, India",West Indies,India,international,West Indies,field,West Indies,,,9,,E Lewis
2017-09-06,,Colombo,"R.Premadasa Stadium, Khettarama",2017,India tour of Sri Lanka,T20,20,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,7,,V Kohli
2017-12-29,1,Nelson,Saxton Oval,2017/18,West Indies tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,47,,,GD Phillips
2018-01-01,2,Mount Maunganui,Bay Oval,2017/18,West Indies tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,,no result,,,,
2018-01-03,3,Mount Maunganui,Bay Oval,2017/18,West Indies tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,New Zealand,bat,New Zealand,,119,,,C Munro
2018-01-22,1,Wellington,Westpac Stadium,2017/18,Pakistan tour of New Zealand,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,New Zealand,field,New Zealand,,,7,,C Munro
2018-01-25,2,Auckland,Eden Park,2017/18,Pakistan tour of New Zealand,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,Pakistan,bat,Pakistan,,48,,,Fakhar Zaman
2018-01-28,3,Mount Maunganui,Bay Oval,2017/18,Pakistan tour of New Zealand,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,Pakistan,bat,Pakistan,,18,,,Shadab Khan
2017-09-12,1,Lahore,Gaddafi Stadium,2017/18,Independence Cup,T20,20,"Pakistan, ICC World XI",Pakistan,ICC World XI,international,ICC World XI,field,Pakistan,,20,,,Babar Azam
2017-09-13,2,Lahore,Gaddafi Stadium,2017/18,Independence Cup,T20,20,"Pakistan, ICC World XI",Pakistan,ICC World XI,international,Pakistan,bat,ICC World XI,,,7,,NLTC Perera
2017-09-15,3,Lahore,Gaddafi Stadium,2017/18,Independence Cup,T20,20,"Pakistan, ICC World XI",Pakistan,ICC World XI,international,ICC World XI,field,Pakistan,,33,,,Ahmed Shehzad
2017-10-07,1,Ranchi,JSCA International Stadium Complex,2017/18,Australia tour of India,T20,20,"Australia, India",Australia,India,international,India,field,India,,,9,,Kuldeep Yadav
2017-10-10,2,Guwahati,Barsapara Cricket Stadium,2017/18,Australia tour of India,T20,20,"India, Australia",India,Australia,international,Australia,field,Australia,,,8,,JP Behrendorff
2018-06-27,,Birmingham,Edgbaston,2018,Australia tour of England,T20,20,"England, Australia",England,Australia,international,Australia,field,England,,28,,,AU Rashid
2018-07-03,1,Manchester,Old Trafford,2018,India tour of Ireland and England,T20,20,"England, India",England,India,international,India,field,India,,,8,,Kuldeep Yadav
2018-07-06,2,Cardiff,Sophia Gardens,2018,India tour of Ireland and England,T20,20,"India, England",India,England,international,England,field,England,,,5,,AD Hales
2018-07-08,3,Bristol,County Ground,2018,India tour of Ireland and England,T20,20,"England, India",England,India,international,India,field,India,,,7,,RG Sharma
2017-11-01,1,Delhi,Arun Jaitley Stadium,2017/18,New Zealand tour of India,T20,20,"India, New Zealand",India,New Zealand,international,New Zealand,field,India,,53,,,S Dhawan
2017-11-04,2,Rajkot,Saurashtra Cricket Association Stadium,2017/18,New Zealand tour of India,T20,20,"New Zealand, India",New Zealand,India,international,New Zealand,bat,New Zealand,,40,,,C Munro
2017-11-07,3,Thiruvananthapuram,Greenfield International Stadium,2017/18,New Zealand tour of India,T20,20,"India, New Zealand",India,New Zealand,international,New Zealand,field,India,,6,,,JJ Bumrah
2017-10-26,1,Abu Dhabi,Sheikh Zayed Stadium,2017/18,Sri Lanka tour of United Arab Emirates and Pakistan,T20,20,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Pakistan,field,Pakistan,,,7,,Usman Shinwari
2017-10-27,2,Abu Dhabi,Sheikh Zayed Stadium,2017/18,Sri Lanka tour of United Arab Emirates and Pakistan,T20,20,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Pakistan,field,Pakistan,,,2,,Shadab Khan
2017-10-29,3,Lahore,Gaddafi Stadium,2017/18,Sri Lanka tour of United Arab Emirates and Pakistan,T20,20,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,international,Sri Lanka,field,Pakistan,,36,,,Shoaib Malik
2018-02-18,1,Johannesburg,The Wanderers Stadium,2017/18,India tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,India,,28,,,B Kumar
2018-02-21,2,Centurion,SuperSport Park,2017/18,India tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,South Africa,,,6,,H Klaasen
2018-02-24,3,Cape Town,Newlands,2017/18,India tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,India,,7,,,SK Raina
2017-12-20,1,Cuttack,Barabati Stadium,2017/18,Sri Lanka tour of India,T20,20,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,field,India,,93,,,YS Chahal
2017-12-22,2,Indore,Holkar Cricket Stadium,2017/18,Sri Lanka tour of India,T20,20,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,field,India,,88,,,RG Sharma
2017-12-24,3,Mumbai,Wankhede Stadium,2017/18,Sri Lanka tour of India,T20,20,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,5,,JD Unadkat
2017-10-21,2,Antigua,Coolidge Cricket Ground,2017/18,Sri Lanka Women tour of West Indies,T20,20,"West Indies, Sri Lanka",West Indies,Sri Lanka,international,West Indies,bat,West Indies,,47,,,ASS Fletcher
2017-11-09,2,,Sharjah Cricket Stadium,2017/18,New Zealand Women tour of United Arab Emirates,T20,20,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,bat,New Zealand,,39,,,SFM Devine
2017-11-12,3,,Sharjah Cricket Stadium,2017/18,New Zealand Women tour of United Arab Emirates,T20,20,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,bat,New Zealand,,42,,,SW Bates
2017-11-14,4,,Sharjah Cricket Stadium,2017/18,New Zealand Women tour of United Arab Emirates,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,Pakistan,bat,New Zealand,,,7,,SFM Devine
2018-02-13,1,Potchefstroom,Senwes Park,2017/18,India Women tour of South Africa,T20,20,"South Africa, India",South Africa,India,international,India,field,India,,,7,,M Raj
2018-02-16,2,East London,Buffalo Park,2017/18,India Women tour of South Africa,T20,20,"South Africa, India",South Africa,India,international,India,field,India,,,9,,
2018-02-18,3,Johannesburg,The Wanderers Stadium,2017/18,India Women tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,South Africa,,,5,,S Ismail
2018-02-21,4,Centurion,SuperSport Park,2017/18,India Women tour of South Africa,T20,20,"South Africa, India",South Africa,India,international,India,field,,no result,,,,
2018-02-24,5,Cape Town,Newlands,2017/18,India Women tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,India,,54,,,M Raj
2018-06-20,1,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,field,New Zealand,,66,,,
2018-06-20,2,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"England, South Africa",England,South Africa,international,England,bat,England,,121,,,TT Beaumont
2018-06-23,3,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"England, South Africa",England,South Africa,international,England,bat,South Africa,,,6,,
2018-06-23,4,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"England, New Zealand",England,New Zealand,international,England,bat,England,,54,,,S Ecclestone
2018-06-28,5,Bristol,County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"South Africa, New Zealand",South Africa,New Zealand,international,South Africa,bat,New Zealand,,,8,,SFM Devine
2018-06-28,6,Bristol,County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"New Zealand, England",New Zealand,England,international,New Zealand,bat,England,,,7,,A Shrubsole
2018-07-01,,Chelmsford,County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"New Zealand, England",New Zealand,England,international,New Zealand,bat,England,,,7,,KH Brunt
2018-06-12,1,Edinburgh,"Grange Cricket Club, Raeburn Place",2018,"Pakistan tour of Ireland, England and Scotland",T20,20,"Pakistan, Scotland",Pakistan,Scotland,international,Pakistan,bat,Pakistan,,48,,,Sarfraz Ahmed
2018-06-13,2,Edinburgh,"Grange Cricket Club, Raeburn Place",2018,"Pakistan tour of Ireland, England and Scotland",T20,20,"Pakistan, Scotland",Pakistan,Scotland,international,Pakistan,bat,Pakistan,,84,,,Usman Shinwari
2018-02-15,1,Dhaka,"Shere Bangla National Stadium, Mirpur",2017/18,Sri Lanka tour of Bangladesh,T20,20,"Bangladesh, Sri Lanka",Bangladesh,Sri Lanka,international,Bangladesh,bat,Sri Lanka,,,6,,BKG Mendis
2018-02-18,2,,Sylhet International Cricket Stadium,2017/18,Sri Lanka tour of Bangladesh,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Sri Lanka,,75,,,BKG Mendis
2018-03-22,1,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"India, Australia",India,Australia,international,Australia,field,Australia,,,6,,A Gardner
2018-03-23,2,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"Australia, England",Australia,England,international,England,field,England,,,8,,NR Sciver
2018-03-25,3,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"India, England",India,England,international,England,field,England,,,7,,DN Wyatt
2018-03-26,4,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"Australia, India",Australia,India,international,India,field,Australia,,36,,,ML Schutt
2018-03-28,5,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"England, Australia",England,Australia,international,Australia,field,Australia,,,8,,EA Perry
2018-03-29,6,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"England, India",England,India,international,England,bat,India,,,8,,AA Patil
2018-03-31,,Mumbai,Brabourne Stadium,2017/18,India Tri-Nation Women's T20 Series,T20,20,"Australia, England",Australia,England,international,England,field,Australia,,57,,,MM Lanning
2018-03-06,1,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,5,,MDKJ Perera
2018-03-08,2,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"Bangladesh, India",Bangladesh,India,international,India,field,India,,,6,,V Shankar
2018-03-10,3,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Bangladesh,,,5,,Mushfiqur Rahim
2018-03-12,4,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,6,,SN Thakur
2018-03-14,5,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"India, Bangladesh",India,Bangladesh,international,Bangladesh,field,India,,17,,,RG Sharma
2018-03-16,6,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Bangladesh,,,2,,Mahmudullah
2018-03-18,,Colombo,"R.Premadasa Stadium, Khettarama",2017/18,Nidahas Trophy,T20,20,"Bangladesh, India",Bangladesh,India,international,India,field,India,,,4,,KD Karthik
2018-03-14,1,Mount Maunganui,Bay Oval,2017/18,West Indies Women tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,8,,,KJ Martin
2018-03-16,2,Mount Maunganui,Bay Oval,2017/18,West Indies Women tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,106,,,AE Satterthwaite
2018-03-20,3,New Plymouth,Pukekura Park,2017/18,West Indies Women tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,1,,,HK Matthews
2018-03-25,5,Hamilton,Seddon Park,2017/18,West Indies Women tour of New Zealand,T20,20,"West Indies, New Zealand",West Indies,New Zealand,international,New Zealand,field,New Zealand,,,7,,KJ Martin
2018-03-28,1,Colombo,Sinhalese Sports Club Ground,2017/18,Pakistan Women tour of Sri Lanka,T20,20,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Pakistan,field,Pakistan,,,1,,Javeria Khan
2018-03-30,2,Colombo,Nondescripts Cricket Club Ground,2017/18,Pakistan Women tour of Sri Lanka,T20,20,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,international,Pakistan,bat,Sri Lanka,,,7,,HASD Siriwardene
2018-04-01,1,Karachi,National Stadium,2018,West Indies tour of Pakistan,T20,20,"Pakistan, West Indies",Pakistan,West Indies,international,West Indies,field,Pakistan,,143,,,Hussain Talat
2018-04-02,2,Karachi,National Stadium,2018,West Indies tour of Pakistan,T20,20,"Pakistan, West Indies",Pakistan,West Indies,international,Pakistan,bat,Pakistan,,82,,,Babar Azam
2018-04-03,3,Karachi,National Stadium,2018,West Indies tour of Pakistan,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,West Indies,bat,Pakistan,,,8,,Fakhar Zaman
2018-10-27,,Colombo,"R.Premadasa Stadium, Khettarama",2018/19,England tour of Sri Lanka,T20,20,"England, Sri Lanka",England,Sri Lanka,international,Sri Lanka,field,England,,30,,,JL Denly
2018-06-27,1,Dublin,"The Village, Malahide",2018,India tour of Ireland and England,T20,20,"India, Ireland",India,Ireland,international,Ireland,field,India,,76,,,Kuldeep Yadav
2018-06-29,2,Dublin,"The Village, Malahide",2018,India tour of Ireland and England,T20,20,"India, Ireland",India,Ireland,international,Ireland,field,India,,143,,,KL Rahul
2018-05-31,,London,Lord's,2018,ICC World XI tour of England,T20,20,"West Indies, ICC World XI",West Indies,ICC World XI,international,ICC World XI,field,West Indies,,72,,,E Lewis
2018-07-29,3,London,Lord's,2018,Marylebone Cricket Club Tri-Nation T20 Series,T20,20,"Netherlands, Nepal",Netherlands,Nepal,international,Nepal,field,,no result,,,,
2018-06-12,1,Rotterdam,Hazelaarweg,2018,Netherlands Tri-Nation T20I Series,T20,20,"Netherlands, Ireland",Netherlands,Ireland,international,Ireland,field,Netherlands,,4,,,
2018-06-13,2,Rotterdam,Hazelaarweg,2018,Netherlands Tri-Nation T20I Series,T20,20,"Ireland, Netherlands",Ireland,Netherlands,international,Ireland,bat,Netherlands,,,4,,
2018-06-16,3,Deventer,Sportpark Het Schootsveld,2018,Netherlands Tri-Nation T20I Series,T20,20,"Ireland, Scotland",Ireland,Scotland,international,Ireland,bat,Ireland,,46,,,
2018-06-17,4,Deventer,Sportpark Het Schootsveld,2018,Netherlands Tri-Nation T20I Series,T20,20,"Scotland, Ireland",Scotland,Ireland,international,Scotland,bat,,tie,,,,
2018-06-19,5,Amstelveen,VRA Ground,2018,Netherlands Tri-Nation T20I Series,T20,20,"Netherlands, Scotland",Netherlands,Scotland,international,Netherlands,bat,Scotland,,,7,,
2018-06-20,6,Amstelveen,VRA Ground,2018,Netherlands Tri-Nation T20I Series,T20,20,"Scotland, Netherlands",Scotland,Netherlands,international,Scotland,bat,Scotland,,115,,,
2018-08-14,,Colombo,"R.Premadasa Stadium, Khettarama",2018,South Africa tour of Sri Lanka,T20,20,"South Africa, Sri Lanka",South Africa,Sri Lanka,international,South Africa,bat,Sri Lanka,,,3,,DM de Silva
