Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2017-03-05,2,Antigua,"Sir Vivian Richards Stadium, North Sound",2016/17,England in West Indies ODI Series,ODI,50,"West Indies, England",West Indies,England,international,West Indies,bat,England,,,4,,JE Root
2017-03-09,3,Barbados,"Kensington Oval, Bridgetown",2016/17,England in West Indies ODI Series,ODI,50,"West Indies, England",West Indies,England,international,West Indies,field,England,,186,,,AD Hales
2017-05-05,1,Bristol,County Ground,2017,Ireland in England ODI Series,ODI,50,"England, Ireland",England,Ireland,international,Ireland,bat,England,,,7,,AU Rashid
2017-05-07,2,London,Lord's,2017,Ireland in England ODI Series,ODI,50,"England, Ireland",England,Ireland,international,Ireland,field,England,,85,,,JE Root
2016-10-07,1,Mirpur,Shere Bangla National Stadium,2016/17,England in Bangladesh ODI Series,ODI,50,"Bangladesh, England",Bangladesh,England,international,England,bat,England,,21,,,JT Ball
2016-10-09,2,Mirpur,Shere Bangla National Stadium,2016/17,England in Bangladesh ODI Series,ODI,50,"Bangladesh, England",Bangladesh,England,international,England,field,Bangladesh,,34,,,Mashrafe Mortaza
2016-10-12,3,Chittagong,Zahur Ahmed Chowdhury Stadium,2016/17,England in Bangladesh ODI Series,ODI,50,"Bangladesh, England",Bangladesh,England,international,England,field,England,,,4,,AU Rashid
2016-10-16,1,Dharmasala,Himachal Pradesh Cricket Association Stadium,2016/17,New Zealand in India ODI Series,ODI,50,"India, New Zealand",India,New Zealand,international,India,field,India,,,6,,HH Pandya
2016-10-20,2,Delhi,Feroz Shah Kotla,2016/17,New Zealand in India ODI Series,ODI,50,"India, New Zealand",India,New Zealand,international,India,field,New Zealand,,6,,,KS Williamson
2016-10-23,3,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2016/17,New Zealand in India ODI Series,ODI,50,"India, New Zealand",India,New Zealand,international,India,field,India,,,7,,V Kohli
2016-10-26,4,Ranchi,JSCA International Stadium Complex,2016/17,New Zealand in India ODI Series,ODI,50,"India, New Zealand",India,New Zealand,international,New Zealand,bat,New Zealand,,19,,,MJ Guptill
2016-10-29,5,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016/17,New Zealand in India ODI Series,ODI,50,"India, New Zealand",India,New Zealand,international,India,bat,India,,190,,,A Mishra
2017-05-24,1,Leeds,Headingley,2017,South Africa in England ODI Series,ODI,50,"England, South Africa",England,South Africa,international,South Africa,field,England,,72,,,MM Ali
2017-05-27,2,Southampton,The Rose Bowl,2017,South Africa in England ODI Series,ODI,50,"England, South Africa",England,South Africa,international,South Africa,field,England,,2,,,BA Stokes
2017-05-29,3,London,Lord's,2017,South Africa in England ODI Series,ODI,50,"England, South Africa",England,South Africa,international,South Africa,field,South Africa,,,7,,K Rabada
2017-09-19,1,Manchester,Old Trafford,2017,West Indies tour of England,ODI,50,"West Indies, England",West Indies,England,international,West Indies,bat,England,,,7,,JM Bairstow
2017-09-21,2,Nottingham,Trent Bridge,2017,West Indies tour of England,ODI,50,"England, West Indies",England,West Indies,international,West Indies,field,,no result,,,,
2017-09-24,3,Bristol,County Ground,2017,West Indies tour of England,ODI,50,"England, West Indies",England,West Indies,international,West Indies,field,England,,124,,,MM Ali
2017-09-27,4,London,Kennington Oval,2017,West Indies tour of England,ODI,50,"West Indies, England",West Indies,England,international,England,field,England,,6,,,E Lewis
2017-09-29,5,Southampton,The Rose Bowl,2017,West Indies tour of England,ODI,50,"West Indies, England",West Indies,England,international,England,field,England,,,9,,JM Bairstow
2017-05-12,1,Dublin,Malahide,2017,Ireland Tri-Nation Series,ODI,50,"Ireland, Bangladesh",Ireland,Bangladesh,international,Ireland,field,,no result,,,,
2017-05-14,2,Dublin,Malahide,2017,Ireland Tri-Nation Series,ODI,50,"Ireland, New Zealand",Ireland,New Zealand,international,Ireland,field,New Zealand,,51,,,MJ Santner
2017-05-17,3,Dublin,Clontarf Cricket Club Ground,2017,Ireland Tri-Nation Series,ODI,50,"Bangladesh, New Zealand",Bangladesh,New Zealand,international,New Zealand,field,New Zealand,,,4,,JDS Neesham
2017-05-19,4,Dublin,Malahide,2017,Ireland Tri-Nation Series,ODI,50,"Ireland, Bangladesh",Ireland,Bangladesh,international,Bangladesh,field,Bangladesh,,,8,,Mustafizur Rahman
2017-05-21,5,Dublin,Malahide,2017,Ireland Tri-Nation Series,ODI,50,"Ireland, New Zealand",Ireland,New Zealand,international,Ireland,field,New Zealand,,190,,,TWM Latham
2017-05-24,6,Dublin,Clontarf Cricket Club Ground,2017,Ireland Tri-Nation Series,ODI,50,"Bangladesh, New Zealand",Bangladesh,New Zealand,international,Bangladesh,field,Bangladesh,,,5,,Mushfiqur Rahim
2017-01-15,1,Pune,Maharashtra Cricket Association Stadium,2016/17,England in India ODI Series,ODI,50,"India, England",India,England,international,India,field,India,,,3,,KM Jadhav
2017-01-19,2,Cuttack,Barabati Stadium,2016/17,England in India ODI Series,ODI,50,"India, England",India,England,international,England,field,India,,15,,,Yuvraj Singh
2017-01-22,3,Kolkata,Eden Gardens,2016/17,England in India ODI Series,ODI,50,"India, England",India,England,international,India,field,England,,5,,,BA Stokes
2017-01-18,4,Cox's Bazar,Sheikh Kamal International Cricket Stadium,2016/17,South Africa Women in Bangladesh ODI Series,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,South Africa,bat,South Africa,,94,,,M du Preez
2017-01-20,5,Cox's Bazar,Sheikh Kamal International Cricket Stadium,2016/17,South Africa Women in Bangladesh ODI Series,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,Bangladesh,bat,South Africa,,,8,,O Kirsten
2016-11-18,,Canberra,Manuka Oval,2016/17,ICC Women's Championship,ODI,50,"Australia, South Africa",Australia,South Africa,international,South Africa,bat,Australia,,,2,,EA Perry
2016-11-20,,Canberra,Manuka Oval,2016/17,ICC Women's Championship,ODI,50,"Australia, South Africa",Australia,South Africa,international,Australia,bat,Australia,,66,,,MM Lanning
2016-11-29,5,Coffs Harbour,International Sports Stadium,2016/17,South Africa Women in Australia ODI Series,ODI,50,"Australia, South Africa",Australia,South Africa,international,South Africa,field,Australia,,43,,,EA Perry
2016-09-18,1,,Rangiri Dambulla International Stadium,2016,Australia Women in Sri Lanka ODI Series,ODI,50,"Sri Lanka, Australia",Sri Lanka,Australia,international,Sri Lanka,bat,Australia,,,4,,
2016-09-25,,Colombo,Khettarama Stadium,2016,ICC Women's Championship,ODI,50,"Sri Lanka, Australia",Sri Lanka,Australia,international,Australia,bat,Australia,,137,,,NE Bolton
2016-09-30,1,,Sharjah Cricket Stadium,2016/17,Pakistan v West Indies ODI Series,ODI,50,"Pakistan, West Indies",Pakistan,West Indies,international,West Indies,field,Pakistan,,111,,,Babar Azam
2016-10-02,2,,Sharjah Cricket Stadium,2016/17,Pakistan v West Indies ODI Series,ODI,50,"Pakistan, West Indies",Pakistan,West Indies,international,Pakistan,bat,Pakistan,,59,,,Babar Azam
2016-10-05,3,Abu Dhabi,Sheikh Zayed Stadium,2016/17,Pakistan v West Indies ODI Series,ODI,50,"Pakistan, West Indies",Pakistan,West Indies,international,Pakistan,bat,Pakistan,,136,,,Babar Azam
2016-11-11,2,Lincoln,Bert Sutcliffe Oval,2016/17,Pakistan Women in New Zealand ODI Series,ODI,50,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,bat,New Zealand,,60,,,
2016-11-13,,Lincoln,Bert Sutcliffe Oval,2016/17,ICC Women's Championship,ODI,50,"New Zealand, Pakistan",New Zealand,Pakistan,international,Pakistan,bat,New Zealand,,,8,,
2016-11-17,,Nelson,Saxton Oval,2016/17,ICC Women's Championship,ODI,50,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,field,New Zealand,,,7,,
2017-02-26,1,Auckland,Eden Park No 2,2016/17,Rose Bowl,ODI,50,"New Zealand, Australia",New Zealand,Australia,international,Australia,bat,New Zealand,,,5,,AE Satterthwaite
2017-03-02,2,Mount Maunganui,Bay Oval,2016/17,Rose Bowl,ODI,50,"New Zealand, Australia",New Zealand,Australia,international,Australia,field,Australia,,,4,,AJ Blackwell
2017-03-05,3,Mount Maunganui,Bay Oval,2016/17,Rose Bowl,ODI,50,"New Zealand, Australia",New Zealand,Australia,international,Australia,field,Australia,,,5,,MM Lanning
2016-11-15,,Colombo,R Premadasa Stadium,2016/17,ICC Women's Championship,ODI,50,"Sri Lanka, England",Sri Lanka,England,international,Sri Lanka,bat,England,,,5,,
2016-11-17,,Colombo,R Premadasa Stadium,2016/17,ICC Women's Championship,ODI,50,"Sri Lanka, England",Sri Lanka,England,international,England,bat,England,,162,,,
2016-11-14,1,,Harare Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Zimbabwe, Sri Lanka",Zimbabwe,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,8,,DM de Silva
2016-11-16,2,,Harare Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Sri Lanka, West Indies",Sri Lanka,West Indies,international,Sri Lanka,field,West Indies,,62,,,JO Holder
2016-11-19,3,Bulawayo,Queens Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Zimbabwe, West Indies",Zimbabwe,West Indies,international,Zimbabwe,bat,,tie,,,,SD Hope
2016-11-21,4,Bulawayo,Queens Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Zimbabwe, Sri Lanka",Zimbabwe,Sri Lanka,international,Zimbabwe,bat,,no result,,,,
2016-11-23,5,Bulawayo,Queens Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Sri Lanka, West Indies",Sri Lanka,West Indies,international,West Indies,field,Sri Lanka,,1,,,BKG Mendis
2016-11-25,6,Bulawayo,Queens Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Zimbabwe, West Indies",Zimbabwe,West Indies,international,Zimbabwe,bat,Zimbabwe,,5,,,TS Chisoro
2016-11-27,,Bulawayo,Queens Sports Club,2016/17,Zimbabwe Tri-Nation Series,ODI,50,"Zimbabwe, Sri Lanka",Zimbabwe,Sri Lanka,international,Zimbabwe,bat,Sri Lanka,,,6,,BKG Mendis
2016-11-09,1,Colombo,Sinhalese Sports Club Ground,2016/17,England Women in Sri Lanka ODI Series,ODI,50,"Sri Lanka, England",Sri Lanka,England,international,Sri Lanka,bat,England,,,8,,
2017-04-02,38,Abu Dhabi,Sheikh Zayed Stadium,2017,ICC World Cricket League Championship,ODI,50,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,Papua New Guinea,bat,Papua New Guinea,,26,,,
2018-01-14,1,,Melbourne Cricket Ground,2017/18,England tour of Australia and New Zealand,ODI,50,"Australia, England",Australia,England,international,England,field,England,,,5,,JJ Roy
2018-01-19,2,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2017/18,England tour of Australia and New Zealand,ODI,50,"Australia, England",Australia,England,international,Australia,bat,England,,,4,,JE Root
2018-01-21,3,,Sydney Cricket Ground,2017/18,England tour of Australia and New Zealand,ODI,50,"England, Australia",England,Australia,international,Australia,field,England,,16,,,JC Buttler
2018-01-26,4,,Adelaide Oval,2017/18,England tour of Australia and New Zealand,ODI,50,"England, Australia",England,Australia,international,Australia,field,Australia,,,3,,PJ Cummins
2018-01-28,5,,Perth Stadium,2017/18,England tour of Australia and New Zealand,ODI,50,"England, Australia",England,Australia,international,Australia,field,England,,12,,,TK Curran
2017-02-07,1,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Sri Lanka, India",Sri Lanka,India,international,India,bat,India,,114,,,DP Vaidya
2017-02-07,3,Colombo,Nondescripts Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,South Africa,bat,South Africa,,63,,,CL Tryon
2017-02-08,5,Colombo,Nondescripts Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Sri Lanka, Ireland",Sri Lanka,Ireland,international,Sri Lanka,bat,Sri Lanka,,146,,,SIP Fernando
2017-02-08,8,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Bangladesh, Pakistan",Bangladesh,Pakistan,international,Pakistan,bat,Pakistan,,67,,,Ghulam Fatima
2017-02-10,11,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"India, Ireland",India,Ireland,international,India,bat,India,,125,,,MDT Kamini
2017-02-11,13,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,Bangladesh,bat,South Africa,,,6,,S Ismail
2017-02-15,21,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"India, South Africa",India,South Africa,international,South Africa,field,India,,49,,,M Raj
